Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
#Alive,2020,7.228,1956,6300000,13416285,614696,#alive,0,left_only,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
10 Cloverfield Lane,2016,6.994,8359,15000000,110216998,333371,10 cloverfield lane,0,left_only,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,0
12 Strong,2018,6.346,3097,35000000,67450815,429351,12 strong,0,left_only,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0
13 Hours: The Secret Soldiers of Benghazi,2016,7.269,3789,50000000,69411370,300671,13 hours: the secret soldiers of benghazi,0,left_only,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0
1917,2019,8.0,13092,100000000,446064352,530915,1917,0,both,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,1
1922,2017,5.937,2838,5000000,2943477,452507,1922,0,left_only,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0
365 Days,2020,7.009,9340,0,9458590,664413,365 days,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
365 Days: This Day,2022,5.93,1783,0,0,829557,365 days: this day,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
47 Meters Down,2017,5.808,2789,5500000,62198461,403119,47 meters down,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
6 Underground,2019,6.34,4988,150000000,0,509967,6 underground,0,left_only,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
65,2023,5.964,2679,45000000,60730568,700391,65,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
A Complete Unknown,2024,7.111,1249,65000000,138003641,661539,a complete unknown,0,both,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1
A Cure for Wellness,2017,6.341,4046,40000000,26620002,340837,a cure for wellness,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,0
A Dog's Purpose,2017,7.639,3449,22000000,205000000,381289,a dog's purpose,0,left_only,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,0
A Haunting in Venice,2023,6.585,2642,60000000,121400000,945729,a haunting in venice,0,left_only,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
